scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 09:00,1.464022248
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 10:00,0.454430293
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 11:00,2.660820189
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 12:00,0.504164448
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 13:00,2.929767543
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 14:00,0.157506344
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 15:00,0.884017788
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 16:00,2.504803356
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 17:00,2.904639955
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 18:00,0.342593327
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 19:00,1.46166114
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 20:00,0.744161127
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 21:00,2.695073793
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 22:00,0.926466582
cross202209,abroad-together,reference,electricity_consumption_typical_day,road_public,CH,seseth,GW,typical-day,01.02.2050 23:00,1.483937987
